t,qx,qy,qz,qw
0.0,0.1518759807654354,0.19017434322948293,-0.08789537006667995,0.9659408934115035
0.02,0.15455442465275357,0.19625606106074076,-0.0844873262686007,0.9646027057898823
0.036,0.15674309648466342,0.20083505516611225,-0.08174452124217081,0.963542793843487
0.06,0.16009164266405354,0.207222965429848,-0.07762522286769669,0.9619790191695063
0.08,0.1629316378925938,0.21211312699938348,-0.07418840501400982,0.9607067103386222
0.1,0.16580197215831788,0.2166195403307601,-0.07074256970764883,0.9594692124328228
0.124,0.16927603881899225,0.22156832950075508,-0.06659973385741305,0.958027960705802
0.144,0.1721915772789195,0.22540124073709045,-0.06315328591950883,0.9568469072249473
0.16,0.1745334235690103,0.2282963084731482,-0.06040164016092878,0.9559134487288498
0.18,0.177466156424641,0.2316944418416201,-0.05696753989670723,0.9547660175884363
0.196,0.1798120521366287,0.23423277556133668,-0.05422460055346977,0.9538670376179604
0.216,0.18273644571181216,0.23717505707661493,-0.050799153993712855,0.9527721814068889
0.232,0.18506700204427887,0.23934700975215237,-0.04806874231690632,0.9519204849613842
0.252,0.18796257096414318,0.24184608806694935,-0.04466007643539718,0.9508869644579462
0.276,0.19140288841557734,0.24454107631339156,-0.04057194125788383,0.949693905363317
0.3,0.1947940036000237,0.24691312529756082,-0.03648232123606831,0.9485558733962346
0.316,0.19702014757092556,0.2483208586599254,-0.033753814181492155,0.947829358394078
0.336,0.1997572609239636,0.2498914386821669,-0.03033825977201164,0.946958761285579
0.36,0.20297475565756068,0.25151106701575277,-0.02624519454721854,0.9459675583747731
0.376,0.2050782340415765,0.2524440633851677,-0.02352034652684674,0.9453368214997397
0.4,0.2081613974549821,0.25363158052079404,-0.019424833872021957,0.9444376791515454
0.42,0.21066837849271017,0.2544565849900553,-0.016005538409972646,0.9437237431572112
0.448,0.2141040027389855,0.25552602887105313,-0.011197706580018087,0.9427303622711438
0.472,0.21696050231472616,0.2564067533806598,-0.006954545542621844,0.9418786288861357
0.492,0.21929641709354383,0.2570848232410699,-0.0034355075134394693,0.9411719674943402
0.508,0.22113320892883784,0.25757809146703453,-0.0006224546738977255,0.9406132272380684
0.524,0.22294347302812292,0.2580212571474794,0.0021879229844228663,0.9400619403460642
0.548,0.22561261135438107,0.25858429180196313,0.006390415060617129,0.9392509122840857
0.568,0.22779922809464284,0.25895613016726404,0.009875324191615365,0.9385902792488268
