ID=20251203-093027 kx=[N/A] kv=[N/A] 0.12581804405871688 76.49962639808655 49.877699766509025 1 90.43907404466249
ID=20251203-093918 kx=[N/A] kv=[N/A] 0.060423028095187244 76.84994530677795 32.267811571940854 1 73.90815699478121
ID=20251203-094730 kx=[5.0000, 5.0000, 4.0000] kv=[5.0000, 1.0000, 4.0000] 0.05992099981577024 77.43890762329102 33.93008958389978 1 74.2579994045922
ID=20251203-095202 kx=[5.5000, 5.5000, 8.0000] kv=[5.0000, 1.0000, 4.0000] 0.06822353522082532 80.27957558631897 36.3736879074405 1 76.97535974291696
ID=20251203-095428 kx=[5.5000, 5.5000, 7.0000] kv=[5.0000, 1.0000, 4.0000] 0.04898457869039832 75.6501100063324 33.800571420882484 1 71.68705202352264
ID=20251203-095900 kx=[5.5000, 5.5000, 5.0000] kv=[5.0000, 1.0000, 4.0000] 0.053874560760314556 75.36909222602844 33.82261126864998 1 72.61325285099859
ID=20251203-100242 kx=[5.5000, 5.5000, 6.0000] kv=[5.0000, 1.0000, 4.0000] 0.044238614281948675 82.80912590026855 32.750879948471706 1 71.95972402613779
ID=20251203-100529 kx=[5.5000, 5.5000, 6.5000] kv=[5.0000, 5.0000, 5.0000] 0.047247086805777286 78.61013913154602 33.316946098457755 1 71.83483440715622
ID=20251203-100850 kx=[5.5000, 5.5000, 6.5000] kv=[8.0000, 8.0000, 8.0000] 0.05965128168227935 74.70949602127075 34.89749063737156 0 33.85165366818433
ID=20251203-101518 kx=[5.5000, 5.5000, 6.5000] kv=[8.0000, 8.0000, 8.0000] 0.04056999232607919 80.46910905838013 32.72404780755102 1 70.75262983840207
ID=20251203-101717 kx=[5.5000, 5.5000, 6.5000] kv=[8.0000, 8.0000, 8.0000] 0.12680708608205388 74.27774739265442 51.35657511127913 1 90.48828171719748
ID=20251203-101936 kx=[5.5000, 5.5000, 6.5000] kv=[8.0000, 8.0000, 8.0000] 0.07581791631445478 66.91953206062317 34.42379281412562 1 75.43224823784072
ID=20251203-102235 kx=[5.5000, 5.5000, 6.5000] kv=[8.0000, 8.0000, 8.0000] 0.06954098266845402 71.33909678459167 33.853054771224016 1 74.94662684485394
